name	effect	tree	level
Ability focus	Choose one ability for which you have proficiency on saves. Gain 1 reroll for any save rolls or ability checks*short rest	Ability (choosen)	1
Cypher Magic	When casting spells from scrolls, you add 2 to spells DC	Arcana	3	Greater Skill focus (Arcana)
Eye for Ingredients	When in a large city or larger settlement, you can search the markets carefully for 4 hours in order to purchase material components for your spells at a 10% discount. For example: you can purchase up to 1,000 gp worth of material  components (which costs you 900 gp) each day. Their resale value is also 10% less.	Arcana	3	Greater Skill focus (Arcana)
Familiar Bond	You gain Find familiar spell, although you cannot deliver touch spells through your familiar and can't see through your familiars eyes. You can't take this perk if you already have find familiar spell.	Arcana	3	Greater Skill focus (Arcana)
Magevision	You can cast detect magic once per short rest.	Arcana	3	Esoteric trickster
Practiced Ritualist	Ritual spellcasting either takes 5 minutes of casting time instead of 10 or you can cast the spell as 1 level higher if possible.	Arcana	3	Sacrificial Adept
Telepathic Link	You and your familiar can communicate with each other telepathically at a range of up to 1 mile.	Arcana	3	Greater Skill focus (Arcana)
Cypher Script	It takes you half the time to scribe spells into your spellbook and it takes half the space it would usually need.	Arcana	4	Cypher Magic
Detect expertise	When casting detect magic, you can concentrate for a minute on one object in 30ft to get effects of identify spell on that object. *Long rest	Arcana	4	Magevision
Far-Roaming Familiar	You retain your communicate with each other telepathically regardless of distance, though lead blocks the link at distances greater than 1 mile.	Arcana	4	Telepathic Link
Improved Familiar Bond	Your familiar can deliver touch spells and see through your familiars eyes.	Arcana	4	Familiar Bond
Mutilating Ritualist	You can deal d6 damage per hit die of your character to yourself to cast a ritual spell at 1d4 greater level. You can not use sacrificial ritualist when using this perk.	Arcana	4	Practiced Ritualist
Sacrificial Ritualist	When beggining to cast a ritual spell, you can kill a sentinent creature to cast that spell at 1d4 greater level. You can not use mutilating ritualist when using this perk.	Arcana	4	Practiced Ritualist
Mystic Stride	You can use Nimble moves and acrobatic moves even through thorns, briars, and overgrown areas that are enchanted or magically manipulated to impede motion, even if those areas confer any conditions condition. 	Arcana - Acrobatics	4	Greater Skill focus (Arcana)	Acrobatic moves
Esoteric Linguistics	You can concentrate for an hour on any magical script including scrolls, spellbooks, writings on the wall, etc... and gain effect of identify spell. *long rest	Arcana - Intelligence	4	Xenoglossy	Skill focus (Arcana)
Nature Magic	You have an ability to cast any 2 cantrips and 1 lvl-1 spell from druid spell list. Caster level is 1. *long rest to replenish. You must be in a natural enviroment to use this.	Arcana - Nature	4	Greater skill focus (Nature)	Greater skill focus (Arcana)
Eldritch Eye	Ability to open third eye on forehead. Up to 1 minute. Open: gain advantage on perception skill checks, darkvision 60ft and ability to see invisible creatures. It takes a standar action. Effect stops when unconceous or after a  minute. After effect, roll DC 15 Wisdom save or fall unconceous for d10  minutes. *long rest 	Arcana - Perception	4	Eyes of Judgment	Magevision
Unsanctioned Detection	When using Detect evil and good spell, you have advantages on perception rolls and you add your caster level on passive perception.	Arcana - Perception	4	Greater Skill focus (Perception)	Greater Skill focus (Arcana)
Survival magic	You learn the alarm spell. You can cast it once without expending a spell slot, and you regain the ability to do so when you finish a long rest.	Arcana - Survival	3	Greater skill focus (Survival)	Skill focus (Arcana)
Fool Magic	When you are in disguise as a member of a particular race or a person of a particular alignment, you can use your Deception bonus instead of your Arcana bonus to emulate that race and alignment for the purpose of attempting to activate a magic item.	Arcana -Deception	4	Second skin	Skill focus (Arcana)
Shady magic	You gain disguise self spell, caster level is char level. *short rest	Arcana - Stealth	3	Greater Skill focus (Stealth)	Skill focus (Arcana)
Improved shady magic	You gain invisiblity spell, but can only cast on self and it lasts minutes equal to your profficiency bonus. *short rest	Arcana - Stealth	4	Shady magic	Skill focus (Arcana)
Eschew Materials	You can cast any spell with a material component costing 1 gp or less without needing that component. You must have an material that costs more then 1 gp.	Arcane	4	Eye for Ingredients
Heave	When using Str to push, haul, lift or move objects/people, double str modifier. You have uses equal to con modifier (minimum 1)*long rest	Athletics	3	Greater Skill focus (Athletics)	Strength 15+
Mage grappler	While you are grappling a creature, that creature can't cast spells with somatic commponents unless it passes an acrobatics or athletics check DC equal to 8 + your Athletics skill bonus. 	Athletics	3	Greater Skill focus (Athletics)
Athlete	Climbing doesn't halve your speed and you can make a running long jump or a running high jump after moving only 5ft rather than 10ft.	Athletics	3	Greater Skill focus (Athletics)
Improved heave	You can use Heave when adding str modifier to damage for a successful attack. You count as if you were one size larger for the purpose of determining your carrying capacity.	Athletics	4	Heave	Strength 17+
Improvde mage grappler	While you are grappling a creature, that creature can't cast spells with verbal or somatic commponents unless it passes an acrobatics or athletics check DC equal to 8 + your Athletics skill bonus.	Athletics	4	Mage grappler
Run	When using dash action, you can move 3 times your normal speed instead of 2. You can use this ability times equal to your constitution mod (min 1) *long rest resets	Athletics	4	Athlete
Cosmopolitan	Advantage on navigating in cities. Add proficiency bonus on charisma checks when gathering information from normal citizens.	Charisma	2	Ability focus (Charisma)
Steadfast Personality	Add your Charisma modifier instead of your Wisdom bonus on wisdom saves against mind-affecting effects.	Charisma	2	Ability focus (Charisma)
Bewildering koan	As a bonus action you can make charisma check vs wisdom save against enemy in 10ft. If successful, enemy loses action or you gain adv on attacks* short rest	Charisma	3	Greater Ability focus (Charisma)	Intelligence 13+
Criminal reputation	Add profficiency bonus on any skill checks when interacting with criminals. If already profficient with skill, double profficience bonus.	Charisma	3	Cosmopolitan
Free Spirit	You can gain advantage on any roll to resist mind-affecting effects or to escape grapple and any bonds. *short rest	Charisma	3	Steadfast Personality
Guided Hand	You can add your charisma modifier to an attack and damage roll. *short rest	Charisma	3	Greater Ability focus (Charisma)
Inspiring Talent	If copying someones actions that require skill checks, if that creature has profficiency in that skill and you don't, your skill check counts as being profficient.	Charisma	3	Greater Ability focus (Charisma)	Half-Elf
Intoxicating Flattery	Take 1 minute to flatter someone, after that roll charisma vs insight. If succesful, target gets disadvantage on all wisdom based rolls for 10 x your cha mod minutes.	Charisma	3	Greater Ability focus (Charisma)
Monstrous Mask	When using intimidate against a humanoid, if your intimidate skill check beats the opposing skill check by 10 or more, target creature is frightened by you.	Charisma	3	Greater Ability focus (Charisma)	Tiefling
Strong Comeback	Whenever you are allowed to reroll an ability check, a skill check, or a saving throw, you gain a +2 bonus on the reroll.	Charisma	3	Greater Ability focus (Charisma)
Divine Defiance	You get resistance against radiant damage. Can't be taken if you have Divine Acceptence.	Charisma	4	Free Spirit	No diety
Divine Acceptence	You get resistance against necrotic damage. Can't be taken if you have Divine Defiance.	Charisma	4	Free Spirit	Good or neutral diety
Lucky Halfling	When one of your allies within 30 feet makes a saving throw, you may roll the same saving throw as if you were the subject to the effect requiring it. You may use this ability after your ally rolled, but before the GM declares if the roll was a success or failure. Your ally may choose to use your saving throw in place of his own. Uses equal to your charisma modifier. *long rest 	Charisma	4	Strong Comeback	Halfling
Reward of Life	For every 5 pool points spent on healing creatures with lay of hands, you can heal yourself for a number equal to your charisma modifier.	Charisma	4	Guided Hand	Paladin
Voice of the Sibyl	Gain +2 on all charisma based skill checks (Deception, Intimidation, Performance and Peruasion) and charisma ability checks when speaking.	Charisma	4	Greater Ability focus (Charisma)
Endurance	When gaining exhaustion points, you can roll a DC 20 constitution saving throw. If successful, you don't gain an exhaustion point. Multiple points = multiple rolls.	Constitution	2	Ability focus (Constitution)
Fast Drinker	You can drink potions as bonus actions instead of normal action. Also, when dringing anything, it takes significant less time then it would normaly take.	Constitution	2	Ability focus (Constitution)
Combat Casting	Gain advantage on Constitution saving throws made for concentration when casting while in melee or grapled.	Constitution	3	Greater Ability focus (Constitution)
Fight On	Once per day, you can gain a number of temporary hit points equal to your Constitution modifier. You can activate this perk as a reaction when reduced to 0. You can use this feat to prevent yourself from dying instantly due to extensive damage. These temporary hit points last for 1 minute. If your hit points drop below 0 due to the loss of these temporary hit points, you fall unconscious and are dying as normal. 	Constitution	3	Greater Ability focus (Constitution)
Heroic Defiance	You can delay the onset of one harmful condition or affliction (such as exhausted, paralyzed, stunned, and so on), including permanent and instantaneous conditions. Delay lasts one combat round or 6 seconds. After that, the condition is in effect as normal. *long rest 	Constitution	3	Endurance
Iron guts	Gain advantage when resisting poisons and con save against sickening condition.	Constitution	3	Fast Drinker
Stalwart	While in effect of dodge, you can use attack of opportunity reactions if an enemy enters your reach. 	Constitution	3	Greater Ability focus (Constitution)
Wicked Valor	When using hit dice to heal, you can add your wisdom modifier (min 1) to the amount of health gained.	Constitution	3	Greater Ability focus (Constitution)	Tiefling
Drunkard’s Recovery	If you are dying and a creature gives you at least a sip of alcohol (a standard action for an adjacent creature), you immediately stabilize.	Constitution	4	Iron guts
Fast Healer	When you regain hit points by resting or through magical healing, you recover additional hit points equal to half your Constitution modifier (minimum +1).	Constitution	4	Endurance
Heroic Recovery	After concetrating for 10 minute you can remove half points of exaustion rounded up. When you use Heroic Defiance, you can spend the use of this ability to instead of ignoring one harmful condition for one round, you can remove it totally. *long rest 	Constitution	4	Heroic Defiance
Improved Stalwart	If you haven't moved this turn, you get the effect of dodge action. You can not use this ability if you already took a dodge action.	Constitution	4	Stalwart
Ironhide	Gain +1 AC.	Constitution	4	Greater Ability focus (Constitution)	Half-Orc, Dwarf
Raging Brutality	When using two handed weapons while raging, you can add your constitution modifier in addition to strength modifier to damage rolls.	Constitution	4	Greater Ability focus (Constitution)	Barbarian
Survivor	You gain advantage bonus on all Constitution checks made to stabilize while dying. Once per day, if you are struck by a critical hit or sneak attack, you can spend a reaction to negate the critical or the sneak attack damage, making the attack a normal hit. Replenishes after long rest.	Constitution	4	Fight On
Uncanny Concentration	Gain advantages on concentration rolls in any kind of situation.	Constitution	4	Combat Casting
Childlike	Passive deception of 10+deception bonus when trying to disguise as a human child. You can ignore any prequirements for Pass for Human perk.	Deception	2	Skill focus (Deception)	Halfling
Feint 	Instead of single attack, you can use deception against insight. If successful, your next attack has advantage against target creature. 	Deception	2	Skill focus (Deception)
Confabulist	When using deception skill to deceive someone, if you fail you can follow up with another skill check with disadvantage to try another deception. If successful, creature ignores your first try.	Deception	3	Greater Skill focus (Deception)
Deceptive exhange	On successful feint, instead of gaining advantage, you can force target creature to accept an object you are holding. Target must have free appendages to hold it.	Deception	3	Feint
Helpless Prisoner	If you are restrained or imprisoned, you can make a deceive skill check against any creatures insight (30ft range). If that creature knows you are dangerous, it gets advantage on insight. If you succeed, the target does something intended to make you a little more comfortable, you gain advantage on your next skill check to try to escape. 	Deception	3	Greater Skill focus (Deception)
Second skin	When false-faceing gain passive deception, 8+deception bonus. If someone beats that DC, you can roll to try to beat their skill check.	Deception	3	Greater Skill focus (Deception)
Willing Accomplice	Ally that is attempting Deception checks to disguise themself as another creature have advantage if in 15 ft from you. Can't use this ablity if deafened or blind.	Deception	3	Greater Skill focus (Deception)
Improved conceal spell	Creatures no longer gain bonus to their passive perception equal to spell level. If the creature is 30ft or more from you, gain advantage on deception or sleight of hand.	Deception	4	Conceal spell
Kinslayer	Deal 1d6 bonus damage per attack when attacking  creatures that have the same creature type (and subtype, if applicable) as you. 	Deception	4	Greater Skill focus (Deception)
Pass For Human	Gain advantages when making a deception skill check to disguise yourself as a human. 	Deception	4	Second skin	Half-Elf, Half-Orc
Sycophant	As a standard action, you can attempt to force an enemy to show you mercy by succeeding at a Deception check (DC = 12 + the target’s Wisdom saving throw bonus). If you succeed, your target’s next successful attack against you that brings you to 0 hp will knock you out instead of killing you.	Deception	4	Helpless Prisoner
Fool Magic	When you are in disguise as a member of a particular race or a person of a particular alignment, you can use your Deception bonus instead of your Arcana bonus to emulate that race and alignment for the purpose of attempting to activate a magic item.	Deception - Arcana	4	Second skin	Skill focus (Arcana)
Taunt	You can demoralize opponents using Deception rather than Intimidate and take no skill check penalty for being smaller than your target.	Deception - Intimidation	3	Skill focus (Deception)	Demoralize
Sly Draw	When you succesfuly do a feint while you have one weapon free, as a bonus action you may make a Sleight of Hand check to draw a light weapon and make an attack with disadvantage with it. 	Deception - Sleight of hand	3	Greater skill focus (Sleight of hands)	Feint
Conceal spell	You can hide a somatic or verbal component of a spell from other creatures. Deception skill check against passive perception for verbal component, sleight of hand for somatic component. Add spells casting level to  passive perception of creature you are hidding the spell from.	Deception - Sleight of hands	3	Greater Skill focus (Deception)	Skill focus (Sleight of hands)
Feint Partner	Whenever an ally who also has this perk successfully uses Feint against an opponent, you also gain benefits that your allies feint bestows.	Deception - Teamwork	3	Feint
Manipulative Agility	You can use Sleight of Hand in place of Deception for checks to feint in combat, as well as for checks to pass secret messages without being noticed.	Deception - Dexterity	3	Ability focus (Dexterity)	Feint
Sea legs	Gain advantage on ships when using any dexterity checks.	Dexterity	2	Ability focus (Dexterity)
Fleet	While you are wearing light or no armor, your base speed increases by 5 feet. You lose the benefits of this feat if you carry a medium or heavy load.	Dexterity	2	Ability focus (Dexterity)
Well-Prepared	You can draw any one item from your person in tandem with your Movement. *short rest.	Dexterity	2	Ability focus (Dexterity)
Combat dancer	You can move 5ft as a reaction once per turn.	Dexterity	3	Greater Ability focus (Dexterity)
Fast Crawl	While prone, you can move at half speed. This movement provokes attacks of opportunity as normal.	Dexterity	3	Greater Ability focus (Dexterity)
Sure Grasp	Gain advantage on athletics and acrobatics skill checks while climbing or when making a Reflex save to avoid falling.	Dexterity	3	Greater Ability focus (Dexterity)
Twist away	While you are wearing light armor or no armor, if you are forced to attempt a Constitution saving throw, you can use an immediate action to instead attempt a Dexterity saving throw (at the same DC). If you succeed at this saving throw and the attack has a reduced effect on a successful save, you avoid the effect entirely. Whether the saving throw is successful or not, you are prone until the end of your next turn. If you are prevented from becoming prone, pr you are already prone, you can’t use Twist Away, nor can you ignore the getting prone condition from Twist Away.	Dexterity	3	Fleet
Cartwheel Dodge	When you successfully use *Uncanny dodge* to take half dmg, you can move up to 10ft immiditaly. This movement doesn’t provokes attacks of opportunity.	Dexterity	4	Combat dancer	Rogue
Catfall	You have resistance from falling damage. When you take damage from a fall effect, you can ignore prone effect if you pass a dexterity saving throw with DC equal to damage taken.	Dexterity	4	Sure Grasp
Favored Defense	If one of your favored enemy creatures attack you, you can give that attack disadvantage. Between long rest you can use this ablity times equal to your dex mod.	Dexterity	4	Greater Ability focus (Dexterity)	Ranger
Swift	While you are wearing light or no armor, your base speed increases by 10 feet. You lose the benefits of this feat if you carry a medium or heavy load.	Dexterity	4	Twist away
Friendly Switch	You can spend 5ft of your move to switch places with a willing ally of your size or smaller. Ally must be 5ft from you. This move does not provoke attacks of opportunity. This does not count toward your ally’s movement on his next turn.	Dexterity	4	Combat dancer
Diplomatic Ruse	When making an initiative check, you can perform a single bonus action.	Dexterity 	3	Greater Ability focus (Dexterity)
Superb reflexes	Gain one more reaction per turn.	Dexterity 	4	Greater Ability focus (Dexterity)
Improved diplomatic Ruse	You can use the bonus action that you get from diplomatic ruse to give +3 or -3 for initiative to any creature in 30 ft.	Dexterity 	4	Diplomatic Ruse
Corsair	Gain advantage on acrobatic checks on ships and gain profficiency bonus on initiative rolls while on ships.	Dexterity - Acrobatics	3	Skill focus (Acrobatics)	Ability focus (Dexterity)
Acrobats agility	When you are prone, standing up uses only 5ft of your movement. 	Dexterity - Acrobatics	4	Greater Skill focus (Acrobatics)	Fast Crawl
Manipulative Agility	You can use Sleight of Hand in place of Deception for checks to feint in combat, as well as for checks to pass secret messages without being noticed.	Dexterity - Deception	3	Ability focus (Dexterity)	Feint
Lie Low	If you have been prone since the end of your last turn, gain +1 bonus to stealth checks for hiding for every 10 ft between your character and the closest enemy. Bonus can't be more than your dex modifier with a minimum of 1. 	Dexterity - Stealth	3	Ability focus (Dexterity)	Skill focus (Stealth)
Cartographer	Gain proficiency in cartographers tools. If you navigate using a map you have advantage on Wisdom (Survival) checks to get to any place that you have mapped.	History	2	Skill focus (History)
Careful reader	You gain advantage on saving throws against written magical effects that might occur from reading a book, inscription, scroll, or any other form of writing.	History	3	Greater Skill focus (History)
Advanced cartographer	When travelling, you can move and draw a map at the same time. In normal circumstances, gain advantage on checks for drawing maps. 	History	3	Cartographer
Historian	When you take the Help action to aid another creature’s ability check, you can make a DC 15 Intelligence (History) check. On a success, that creature’s check gains a bonus equal to your proficiency bonus, as you share pertinent advice and historical examples. To receive this bonus, the creature must be able to understand what you’re saying.	History	3	Greater Skill focus (History)
Thoughtful Discernment	Once per long rest as a bonus action, you can think back about a single statement you heard in the last day and determine if it was a lie. Take an insight skill check, DC is determined by your DM. If successful, you realize if it was a lie or not.	Insight	2	Skill focus (Insight)
Shared Insight	As an action, you can give an ally in 20ft bonus to a next insight or perception check equal to your wisdom modifier	Insight	3	Greater Skill focus (Insight)
People reader	If you would make a Wisdom (Insight) skill check contested by another person’s Charisma (Deception) check, you have advantage on the roll.	Insight	3	Greater Skill focus (Insight)
Sense Loyalties	After an hour of interaction with a creature, you can contest your insight against creatures wisdom save. If successful, gain knowledge of creatures: what gods does the creature worship, government, leader, or patron a creature is loyal to or worships and its allignment.	Insight	4	People reader
Dilettante	If you don't have profficiency in religion, history, nature or medicine you count as having profficiency by using this perk. Uses = int modifier. *Long rest replenishes.	Intelligence	2	Ability focus (Intelligence)
Profficient poisoner	Gain proficiency with poisoner's kit. You can add either your wisdom or your intellect modifier in addition to dexterity modifier when using poisoner's kit.	Intelligence	2	Ability focus (Intelligence)
Profficient scholar	Gain proficiency with healer's kit, herbalism kit and alchemical supplies. 	Intelligence	2	Ability focus (Intelligence)
Disconcerting Knowledge	You can add your intelligence modifier to any verbal intimidation attempts. Creature must be intelligent and must understand the language that you are using.	Intelligence	3	Dilettante
Master Alchemist	You may create mundane alchemical items much more quickly than normal. When making potions, you can create up to two additional potions at one time. These additional potions add 5 to the DC for creating them per peace and they do not increase the time required to make them, but they do increase the raw material cost. When making potions and other alchemical items, you can double the time needed to finish them to get an advantage on DC for crafting them.  	Intelligence	3	Profficient scholar
Master poisoner	Gain advantage on rolls for DC when using poisoner's kit. Creatures gain disadvantage when trying to sense your poisons in food or drink. When making poisons, you can create a number of doses equal to your Intelligence modifier (minimum 1) at one time. These additional doses do not increase the time required to make them, but they do increase the raw material cost. 	Intelligence	3	Profficient poisoner
Wild Speech	While in wild shape, you can speak any languages known to you as if you weren't in wild shape.	Intelligence	3	Greater Ability focus (Intelligence)	Druid
Xenoglossy	With a succesful DC 20 intelligence check you can speak with a single individual that does not share any common languages with you.	Intelligence	3	Greater Ability focus (Intelligence)
Alchemical bombs	You know how to craft compact, volatile collections of chemicals in a fragile container—a bomb. As an Attack action, you can craft and throw a bomb up to  20 feet (or up to 40 feet with disadvantage) as a ranged weapon that does 1d10 damage. When you throw a bomb, you choose if the damage it does is acid, ﬁre, or cold damage. You must have your alchemist’s supplies in order to create a bomb. Crafting a bomb is DC 20 use alchemist's supply check. If failed, you can't use this ability until long rest. If you forfeit your movement action this turn, you get advantage on crafting. 	Intelligence	4	Master Alchemist
Natural Spell	You can complete the verbal and somatic components of spells while using wild shape.	Intelligence	4	Wild Speech	Druid
Serpents knowledge	Applying poison to a weapon or 1 piece of ammunition costs only a bonus action for you. When you craft a vial of basic poison your poison deals 2d6 poison damage, and its saving throw DC becomes 8 + your proficiency bonus + your Dexterity modifier, instead of 10. 	Intelligence	4	Master poisoner
Quick mind	Gain one more reaction per turn.	Intelligence	4	Greater Ability focus (Intelligence)
Esoteric Linguistics	You can concentrate for an hour on any magical script including scrolls, spellbooks, writings on the wall, etc... and gain effect of identify spell. *long rest	Intelligence - Arcana	4	Xenoglossy	Skill focus (Arcana)
Field medic	You can use a healer's kit to heal creatures. For every two uses spent, you heal 1d4.  Healing take number of minutes equal to uses spent.	Intelligence - Medicine	3	Skill focus (Medicine)	Profficient scholar
Master Surgeon	You can attempt to revive a creature that has died within the last minute. DC 20 medicine check is needed. You need to have an unused healer's kit. This ability spends all 10 uses. If successful, creature returns to life and is considered dying as if it was dropped to 0 Hit Points by an attack. This perk can’t return to life a creature that has died of old age, nor can it restore any missing body parts. 	Intelligence - Medicine	4	Field medic
Herbalist healer	You can use herbalism kits as if they were healer's kits. 	Intelligence - Nature	3	Skill focus (Nature)	Profficient scholar
Natures remedy	You can use your herbalism kit and natures knowledge to remove all exhaustion points from a creature. It takes 15 minutes per point (+5 if creature large, -5 if small). DC 15 nature check is needed to be passed for every point. 	Intelligence - Nature	4	Herbalist healer
Demoralize	As a standard action, you can target a creature in 20ft from you. Contest your intimidate vs DC 10+ targets hit dice + target wisdom saving bonus. If successful target creature has penalty to all attack rolls, saving throws, skill checks, and ability checks equal to your profficiency bonus until your next round. Gain disadvantage if you are smaller size then the target.	Intimidation	2	Skill focus (Intimidation)
Disarming threat	When you intimidate someone to by friendly toward you, after the effect expires, that person will not be unfriendly and won't take any actions to report you.	Intimidation	2	Skill focus (Intimidation)
Cutting humiliation	When you successfuly intimidate someone in social situation, you can instead humiliate that creature. It has disadvantage on charisma rolls for 10 minutes.	Intimidation	3	Disarming threat
Improved demoralize	You can use demoralize as a bonus action. It lasts for 1d4 rounds instead of 1.	Intimidation	3	Demoralize
Dazzling Display	While wielding the weapon in which you have Weapon Proficiency, you can perform a bewildering show of prowess as your action and movement. Make a single demoralize check against all foes within 30 feet who can see your display. *short rest	Intimidation	3	Demoralize
Antagonize	Make an intimidation check DC 10+creature hit dice+wisdom mod. If successful, creature has disadv on everybody and adv on you on its next turn.	Intimidation	4	Cutting humiliation
Dramatic Display	While wielding the weapon in which you have Weapon Proficiency, you can perform a quick show of skill. As a bonus action, instead of standard action, you can attempt to demoralize a single creature in 20ft from you. If you use dazzling display, you can use this perk as a bonus action to add your Dexterity modifier to the Demoralize Intimidation check.	Intimidation	4	Dazzling Display
Hero’s Display	When using Dazzling Display, in addition to it's normal effect, all allies within 30 feet who can see your display gain temporary hitpoint equal to your number of hitdice.	Intimidation	4	Dazzling Display
Taunt	You can demoralize opponents using Deception rather than Intimidate and take no skill check penalty for being smaller than your target.	Intimidation - Deception	3	Skill focus (Deception)	Demoralize
Fearsome Finish	Upon reducing an enemy to 0 or fewer hit points, for the remaining duration of the combat encounter, you gain advantage on any Intimidate checks made to demoralize opponents who can see both you and the opponent you dropped.	Intimidation - Strength	4	Greater ability focus (Strength)	Demoralize
Researcher	In any settlement that is the size of small town or bigger, you can spend 1d4 hours researching to gain a advantage on a single Religion, History, Medicine or Nature check.	Investigation	2	Skill focus (Investigation)
Investigator	If you would make a Wisdom (Insight) skill check, you may choose to make an Intelligence (Investigation) skill check in its place	Investigation	3	Researcher
Quick search	You can take the Search action as a bonus action.	Investigation	3	Greater skill focus (Investigator)
Thorough search	You can spend 5 min per 5ft of room to find any nonmagicaly hidden objects* short rest	Investigation	4	Quick search
First aid	When stabilizing a creature, you can spend up to 5 uses of healers kit to give it 1 temp health points per use spent. These hit points last for 1 hour.	Medicine	3	Greater skill focus (Medicine)
Field medic	You can use a healer's kit to heal creatures. For every two uses spent, you heal 1d4.  Healing take number of minutes equal to uses spent.	Medicine - Intelligence	3	Skill focus (Medicine)	Profficient scholar
Master Surgeon	You can attempt to revive a creature that has died within the last minute. DC 20 medicine check is needed. You need to have an unused healer's kit. This ability spends all 10 uses. If successful, creature returns to life and is considered dying as if it was dropped to 0 Hit Points by an attack. This perk can’t return to life a creature that has died of old age, nor can it restore any missing body parts. 	Medicine - Intelligence	4	Field medic
Nature Magic	You have an ability to cast any 2 cantrips and 1 lvl-1 spell from druid spell list. Caster level is 1. *long rest to replenish. You must be in a natural enviroment to use this.	Nature - Arcana	4	Greater skill focus (Nature)	Greater skill focus (Arcana)
Herbalist healer	You can use herbalism kits as if they were healer's kits. 	Nature - Intelligence	3	Skill focus (Nature)	Profficient scholar
Natures remedy	You can use your herbalism kit and natures knowledge to remove all exhaustion points from a creature. It takes 15 minutes per point (+5 if creature large, -5 if small). DC 15 nature check is needed to be passed for every point. 	Nature - Intelligence	4	Herbalist healer
Animal call	You can use your deception skill to mimic the calls of animals that you heared before. Can use nature check to detect that it's a false sound.	Nature - Performance	3	Skill focus (Nature)	Skill focus (Performance)
Eagle-eyed	You can see to a considerable distance without penalty. Ignore disadvantage to perception due to distance.	Perception	2	Skill focus (Perception)
Alertness	Gain advantages on saving throws against sleep and charm effects for a number of times equal to your. Wisdom modifier. *long rest	Perception	2	Skill focus (Perception)
Eyes of Judgment	You may spend 3 rounds studying a creature within 60 feet. You cannot take any other actions while doing this. Effect: you learn the alignment of the creature.	Perception	3	Eagle-eyed
Keen Scent	You can scent creatures by their smell. You don't need to see someone in 30ft to sense them with perception check. 	Perception	3	Greater Skill focus (Perception)	Half-Orc
